team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
Utah Jazz,36.2,81.9,8.1,22.9,28.1,59.1,15.9,20.9,.761,9.0,31.3,40.3,17.8,7.3,3.8,12.2,20.3,96.4
San Antonio Spurs,36.7,83.1,8.1,23.7,28.6,59.4,16.6,21.4,.777,9.8,31.5,41.3,21.3,7.5,3.9,14.7,20.1,98.2
Dallas Mavericks,36.9,78.6,9.5,25.0,27.4,53.7,17.2,22.3,.771,8.8,35.5,44.3,21.0,6.4,3.5,15.0,19.7,100.3
Memphis Grizzlies,34.8,78.6,9.9,28.1,24.9,50.4,20.6,27.3,.755,9.0,33.0,42.0,20.1,6.9,5.1,14.4,21.2,100.0
Miami Heat,37.8,84.2,7.7,22.6,30.0,61.6,18.6,23.8,.780,10.4,33.4,43.8,19.7,6.7,4.9,13.6,18.6,101.8
Chicago Bulls,39.9,86.5,9.1,25.6,30.8,60.9,14.4,18.8,.766,10.3,32.7,43.0,23.8,7.3,4.7,13.3,19.0,103.2
Atlanta Hawks,38.9,87.3,10.9,30.2,28.0,57.1,15.5,20.2,.767,10.9,33.1,44.0,23.4,9.2,5.3,15.5,21.8,104.1
Toronto Raptors,37.3,83.0,9.7,27.2,27.6,55.8,18.6,23.9,.779,10.1,32.0,42.1,21.8,6.7,4.8,14.6,20.5,103.0
Minnesota Timberwolves,39.4,83.2,9.6,26.6,29.8,56.6,17.5,22.8,.768,9.8,30.5,40.3,22.7,7.6,4.9,14.4,20.5,105.9
Detroit Pistons,38.3,83.3,9.2,25.4,29.0,57.9,16.5,21.3,.778,8.0,34.8,42.9,23.4,6.7,4.1,12.7,17.6,102.3
Golden State Warriors,38.6,88.8,9.1,28.0,29.4,60.8,17.9,23.4,.765,11.7,31.9,43.6,22.5,8.6,3.9,15.6,19.4,104.2
Milwaukee Bucks,38.1,83.1,10.0,28.1,28.1,55.0,17.9,23.3,.769,10.4,32.0,42.4,24.0,7.2,4.7,14.8,19.6,104.2
Charlotte Hornets,39.4,86.8,11.3,31.3,28.1,55.5,14.4,18.6,.773,9.0,35.5,44.5,24.3,6.6,5.6,12.9,20.1,104.5
Oklahoma City Thunder,39.4,85.7,8.9,24.9,30.4,60.8,18.4,24.2,.760,9.3,31.4,40.7,21.6,8.5,5.5,13.8,20.9,106.0
Boston Celtics,38.7,85.7,9.0,26.9,29.7,58.8,18.8,24.7,.762,10.8,33.7,44.5,22.6,7.6,5.2,14.0,20.2,105.2
Cleveland Cavaliers,40.6,88.6,10.3,28.3,30.3,60.4,15.2,19.7,.773,11.1,33.1,44.3,24.4,7.3,4.3,12.7,20.6,106.7
Indiana Pacers,38.1,84.7,10.2,29.1,27.9,55.7,19.0,24.2,.788,10.9,33.8,44.8,22.4,8.1,5.1,14.8,19.6,105.4
New Orleans Pelicans,39.6,88.9,10.4,29.9,29.2,59.0,15.9,20.7,.766,10.6,37.6,48.2,23.0,7.4,4.3,13.9,19.4,105.6
Los Angeles Clippers,38.7,85.4,9.3,26.3,29.4,59.1,18.2,23.6,.774,10.2,33.1,43.3,23.0,7.2,3.2,13.2,22.4,104.9
Sacramento Kings,38.4,82.9,11.0,29.8,27.4,53.1,18.8,24.1,.779,10.0,32.9,42.9,23.7,8.6,5.2,14.1,20.2,106.5
Orlando Magic,39.9,86.0,9.5,26.1,30.4,60.0,17.6,22.9,.769,9.8,35.7,45.5,23.3,7.6,5.2,13.1,18.9,106.8
Washington Wizards,39.4,84.9,9.9,27.2,29.6,57.7,18.3,24.5,.748,10.5,32.6,43.1,22.8,7.4,4.6,15.4,19.9,107.0
Portland Trail Blazers,39.2,86.5,9.5,25.8,29.7,60.8,21.0,26.8,.784,10.1,33.8,43.9,20.7,7.9,5.2,12.7,19.9,109.0
Philadelphia 76ers,39.3,86.1,8.9,25.0,30.4,61.1,20.2,26.2,.771,10.9,34.2,45.1,22.4,8.6,5.4,15.0,19.6,107.7
New York Knicks,39.8,88.0,9.8,28.1,30.1,59.9,18.8,24.4,.770,11.8,33.4,45.2,21.9,7.6,4.6,12.9,18.4,108.2
Houston Rockets,40.9,88.1,10.1,29.1,30.8,59.0,17.2,22.1,.775,10.5,33.1,43.5,23.8,8.6,5.1,15.3,20.5,108.9
Denver Nuggets,42.1,87.9,9.9,25.9,32.2,61.9,17.3,22.1,.784,9.3,31.2,40.5,24.2,8.4,4.9,12.0,20.3,111.4
Los Angeles Lakers,41.8,86.5,10.2,27.5,31.6,59.1,18.5,24.3,.762,10.5,34.3,44.8,25.6,8.6,5.3,14.2,18.7,112.2
Brooklyn Nets,41.8,90.9,9.9,27.0,31.9,63.9,19.5,25.3,.771,11.0,36.1,47.1,22.9,9.6,5.7,13.2,20.5,112.9
Phoenix Suns,40.1,85.7,9.9,25.8,30.2,59.9,22.8,29.1,.784,10.0,33.9,43.9,22.2,8.1,5.4,15.1,22.2,112.9
